,Category,ID,Name,PValue,QValueFDRBH,QValueFDRBY,QValueBonferroni,TotalGenes,GenesInTerm,GenesInQuery,GenesInTermInQuery,Source,URL,Genes
0,Interaction,int:UNC119,UNC119 interactions,1.1770478314095609e-164,1.8133598890695702e-160,1.8532103662059232e-159,1.8133598890695702e-160,19896,143,678,124, , ,"[{'Entrez': 1026, 'Symbol': 'CDKN1A'}, {'Entrez': 55299, 'Symbol': 'BRIX1'}, {'Entrez': 1031, 'Symbol': 'CDKN2C'}, {'Entrez': 2079, 'Symbol': 'ERH'}, {'Entrez': 5151, 'Symbol': 'PDE8A'}, {'Entrez': 94241, 'Symbol': 'TP53INP1'}, {'Entrez': 5152, 'Symbol': 'PDE9A'}, {'Entrez': 9252, 'Symbol': 'RPS6KA5'}, {'Entrez': 6183, 'Symbol': 'MRPS12'}, {'Entrez': 3117, 'Symbol': 'HLA-DQA1'}, {'Entrez': 1070, 'Symbol': 'CETN3'}, {'Entrez': 404550, 'Symbol': 'C16orf74'}, {'Entrez': 3146, 'Symbol': 'HMGB1'}, {'Entrez': 1104, 'Symbol': 'RCC1'}, {'Entrez': 5216, 'Symbol': 'PFN1'}, {'Entrez': 4193, 'Symbol': 'MDM2'}, {'Entrez': 114793, 'Symbol': 'FMNL2'}, {'Entrez': 114801, 'Symbol': 'TMEM200A'}, {'Entrez': 6275, 'Symbol': 'S100A4'}, {'Entrez': 6279, 'Symbol': 'S100A8'}, {'Entrez': 1160, 'Symbol': 'CKMT2'}, {'Entrez': 1164, 'Symbol': 'CKS2'}, {'Entrez': 7320, 'Symbol': 'UBE2B'}, {'Entrez': 5272, 'Symbol': 'SERPINB9'}, {'Entrez': 6303, 'Symbol': 'SAT1'}, {'Entrez': 7329, 'Symbol': 'UBE2I'}, {'Entrez': 154796, 'Symbol': 'AMOT'}, {'Entrez': 5300, 'Symbol': 'PIN1'}, {'Entrez': 25803, 'Symbol': 'SPDEF'}, {'Entrez': 217, 'Symbol': 'ALDH2'}, {'Entrez': 6362, 'Symbol': 'CCL18'}, {'Entrez': 25819, 'Symbol': 'NOCT'}, {'Entrez': 90355, 'Symbol': 'MACIR'}, {'Entrez': 3336, 'Symbol': 'HSPE1'}, {'Entrez': 8473, 'Symbol': 'OGT'}, {'Entrez': 301, 'Symbol': 'ANXA1'}, {'Entrez': 306, 'Symbol': 'ANXA3'}, {'Entrez': 6453, 'Symbol': 'ITSN1'}, {'Entrez': 310, 'Symbol': 'ANXA7'}, {'Entrez': 9540, 'Symbol': 'TP53I3'}, {'Entrez': 80196, 'Symbol': 'RNF34'}, {'Entrez': 3398, 'Symbol': 'ID2'}, {'Entrez': 728411, 'Symbol': 'GUSBP1'}, {'Entrez': 5464, 'Symbol': 'PPA1'}, {'Entrez': 55643, 'Symbol': 'BTBD2'}, {'Entrez': 5470, 'Symbol': 'PPEF2'}, {'Entrez': 54622, 'Symbol': 'ARL15'}, {'Entrez': 80228, 'Symbol': 'ORAI2'}, {'Entrez': 22902, 'Symbol': 'RUFY3'}, {'Entrez': 379, 'Symbol': 'ARL4D'}, {'Entrez': 22929, 'Symbol': 'SEPHS1'}, {'Entrez': 402, 'Symbol': 'ARL2'}, {'Entrez': 403, 'Symbol': 'ARL3'}, {'Entrez': 7572, 'Symbol': 'ZNF24'}, {'Entrez': 27031, 'Symbol': 'NPHP3'}, {'Entrez': 5530, 'Symbol': 'PPP3CA'}, {'Entrez': 5533, 'Symbol': 'PPP3CC'}, {'Entrez': 8612, 'Symbol': 'PLPP2'}, {'Entrez': 51631, 'Symbol': 'LUC7L2'}, {'Entrez': 55734, 'Symbol': 'ZFP64'}, {'Entrez': 63943, 'Symbol': 'FKBPL'}, {'Entrez': 6606, 'Symbol': 'SMN1'}, {'Entrez': 5593, 'Symbol': 'PRKG2'}, {'Entrez': 84445, 'Symbol': 'LZTS2'}, {'Entrez': 5602, 'Symbol': 'MAPK10'}, {'Entrez': 2534, 'Symbol': 'FYN'}, {'Entrez': 85481, 'Symbol': 'PSKH2'}, {'Entrez': 55791, 'Symbol': 'LRIF1'}, {'Entrez': 23028, 'Symbol': 'KDM1A'}, {'Entrez': 6650, 'Symbol': 'CAPN15'}, {'Entrez': 27143, 'Symbol': 'PALD1'}, {'Entrez': 54810, 'Symbol': 'GIPC2'}, {'Entrez': 5681, 'Symbol': 'PSKH1'}, {'Entrez': 56893, 'Symbol': 'UBQLN4'}, {'Entrez': 51776, 'Symbol': 'MAP3K20'}, {'Entrez': 53826, 'Symbol': 'FXYD6'}, {'Entrez': 5708, 'Symbol': 'PSMD2'}, {'Entrez': 5717, 'Symbol': 'PSMD11'}, {'Entrez': 613, 'Symbol': 'BCR'}, {'Entrez': 6783, 'Symbol': 'SULT1E1'}, {'Entrez': 23180, 'Symbol': 'RFTN1'}, {'Entrez': 8848, 'Symbol': 'TSC22D1'}, {'Entrez': 5802, 'Symbol': 'PTPRS'}, {'Entrez': 8894, 'Symbol': 'EIF2S2'}, {'Entrez': 2780, 'Symbol': 'GNAT2'}, {'Entrez': 5863, 'Symbol': 'RGL2'}, {'Entrez': 79598, 'Symbol': 'CEP97'}, {'Entrez': 1787, 'Symbol': 'TRDMT1'}, {'Entrez': 84747, 'Symbol': 'UNC119B'}, {'Entrez': 5908, 'Symbol': 'RAP1B'}, {'Entrez': 8988, 'Symbol': 'HSPB3'}, {'Entrez': 11068, 'Symbol': 'CYB561D2'}, {'Entrez': 283450, 'Symbol': 'HECTD4'}, {'Entrez': 3910, 'Symbol': 'LAMA4'}, {'Entrez': 10063, 'Symbol': 'COX17'}, {'Entrez': 56144, 'Symbol': 'PCDHA4'}, {'Entrez': 5985, 'Symbol': 'RFC5'}, {'Entrez': 9061, 'Symbol': 'PAPSS1'}, {'Entrez': 79719, 'Symbol': 'AAGAB'}, {'Entrez': 9070, 'Symbol': 'ASH2L'}, {'Entrez': 89970, 'Symbol': 'RSPRY1'}, {'Entrez': 11123, 'Symbol': 'RCAN3'}, {'Entrez': 2948, 'Symbol': 'GSTM4'}, {'Entrez': 9094, 'Symbol': 'UNC119'}, {'Entrez': 3985, 'Symbol': 'LIMK2'}, {'Entrez': 919, 'Symbol': 'CD247'}, {'Entrez': 10144, 'Symbol': 'FAM13A'}, {'Entrez': 11178, 'Symbol': 'LZTS1'}, {'Entrez': 7083, 'Symbol': 'TK1'}, {'Entrez': 11188, 'Symbol': 'NISCH'}, {'Entrez': 348093, 'Symbol': 'RBPMS2'}, {'Entrez': 5050, 'Symbol': 'PAFAH1B3'}, {'Entrez': 81850, 'Symbol': 'KRTAP1-3'}, {'Entrez': 83901, 'Symbol': 'KRTAP9-8'}, {'Entrez': 83900, 'Symbol': 'KRTAP9-3'}, {'Entrez': 170961, 'Symbol': 'ANKRD24'}, {'Entrez': 10200, 'Symbol': 'MPHOSPH6'}, {'Entrez': 81890, 'Symbol': 'QTRT1'}, {'Entrez': 998, 'Symbol': 'CDC42'}, {'Entrez': 6118, 'Symbol': 'RPA2'}, {'Entrez': 55274, 'Symbol': 'PHF10'}, {'Entrez': 57332, 'Symbol': 'CBX8'}, {'Entrez': 23542, 'Symbol': 'MAPK8IP2'}, {'Entrez': 7159, 'Symbol': 'TP53BP2'}]"
1,Interaction,int:TMEM67,TMEM67 interactions,9.335162304443498e-79,7.190875523112827e-75,7.348902521697872e-74,1.438175104622565e-74,19896,127,678,76, , ,"[{'Entrez': 91147, 'Symbol': 'TMEM67'}, {'Entrez': 3107, 'Symbol': 'HLA-C'}, {'Entrez': 6184, 'Symbol': 'RPN1'}, {'Entrez': 3117, 'Symbol': 'HLA-DQA1'}, {'Entrez': 404552, 'Symbol': 'SCGB1D4'}, {'Entrez': 84061, 'Symbol': 'MAGT1'}, {'Entrez': 151647, 'Symbol': 'TAFA4'}, {'Entrez': 51299, 'Symbol': 'NRN1'}, {'Entrez': 60559, 'Symbol': 'SPCS3'}, {'Entrez': 10412, 'Symbol': 'NSA2'}, {'Entrez': 245934, 'Symbol': 'DEFB121'}, {'Entrez': 10424, 'Symbol': 'PGRMC2'}, {'Entrez': 79039, 'Symbol': 'DDX54'}, {'Entrez': 55515, 'Symbol': 'ASIC4'}, {'Entrez': 4324, 'Symbol': 'MMP15'}, {'Entrez': 6389, 'Symbol': 'SDHA'}, {'Entrez': 7444, 'Symbol': 'VRK2'}, {'Entrez': 3359, 'Symbol': 'HTR3A'}, {'Entrez': 6535, 'Symbol': 'SLC6A8'}, {'Entrez': 119180, 'Symbol': 'LYZL2'}, {'Entrez': 10648, 'Symbol': 'SCGB1D1'}, {'Entrez': 27076, 'Symbol': 'LYPD3'}, {'Entrez': 22984, 'Symbol': 'PDCD11'}, {'Entrez': 55754, 'Symbol': 'TMEM30A'}, {'Entrez': 80332, 'Symbol': 'ADAM33'}, {'Entrez': 9694, 'Symbol': 'EMC2'}, {'Entrez': 4582, 'Symbol': 'MUC1'}, {'Entrez': 342510, 'Symbol': 'CD300E'}, {'Entrez': 26092, 'Symbol': 'TOR1AIP1'}, {'Entrez': 161291, 'Symbol': 'TMEM30B'}, {'Entrez': 535, 'Symbol': 'ATP6V0A1'}, {'Entrez': 55831, 'Symbol': 'EMC3'}, {'Entrez': 537, 'Symbol': 'ATP6AP1'}, {'Entrez': 23065, 'Symbol': 'EMC1'}, {'Entrez': 147007, 'Symbol': 'TMEM199'}, {'Entrez': 9789, 'Symbol': 'SPCS2'}, {'Entrez': 5702, 'Symbol': 'PSMC3'}, {'Entrez': 5704, 'Symbol': 'PSMC4'}, {'Entrez': 5705, 'Symbol': 'PSMC5'}, {'Entrez': 5706, 'Symbol': 'PSMC6'}, {'Entrez': 5707, 'Symbol': 'PSMD1'}, {'Entrez': 5708, 'Symbol': 'PSMD2'}, {'Entrez': 5710, 'Symbol': 'PSMD4'}, {'Entrez': 6734, 'Symbol': 'SRPRA'}, {'Entrez': 81502, 'Symbol': 'HM13'}, {'Entrez': 132724, 'Symbol': 'TMPRSS11B'}, {'Entrez': 1667, 'Symbol': 'DEFA1'}, {'Entrez': 23190, 'Symbol': 'UBXN4'}, {'Entrez': 27290, 'Symbol': 'SPINK4'}, {'Entrez': 54940, 'Symbol': 'OCIAD1'}, {'Entrez': 5796, 'Symbol': 'PTPRK'}, {'Entrez': 3749, 'Symbol': 'KCNC4'}, {'Entrez': 57003, 'Symbol': 'CCDC47'}, {'Entrez': 27324, 'Symbol': 'TOX3'}, {'Entrez': 5825, 'Symbol': 'ABCD3'}, {'Entrez': 2765, 'Symbol': 'GML'}, {'Entrez': 10970, 'Symbol': 'CKAP4'}, {'Entrez': 7903, 'Symbol': 'ST8SIA4'}, {'Entrez': 5862, 'Symbol': 'RAB2A'}, {'Entrez': 203547, 'Symbol': 'VMA21'}, {'Entrez': 819, 'Symbol': 'CAMLG'}, {'Entrez': 821, 'Symbol': 'CANX'}, {'Entrez': 201595, 'Symbol': 'STT3B'}, {'Entrez': 10113, 'Symbol': 'PREB'}, {'Entrez': 114571, 'Symbol': 'SLC22A9'}, {'Entrez': 23439, 'Symbol': 'ATP1B4'}, {'Entrez': 913, 'Symbol': 'CD1E'}, {'Entrez': 10134, 'Symbol': 'BCAP31'}, {'Entrez': 11160, 'Symbol': 'ERLIN2'}, {'Entrez': 939, 'Symbol': 'CD27'}, {'Entrez': 10159, 'Symbol': 'ATP6AP2'}, {'Entrez': 23478, 'Symbol': 'SEC11A'}, {'Entrez': 80856, 'Symbol': 'LNPK'}, {'Entrez': 10213, 'Symbol': 'PSMD14'}, {'Entrez': 8165, 'Symbol': 'AKAP1'}, {'Entrez': 79867, 'Symbol': 'TCTN2'}]"
2,Pubmed,33545068,Systematically defining selective autophagy receptor-specific cargo using autophagosome content profiling.,3.783025025398421e-50,6.037783601036389e-45,7.582041727074021e-44,6.037783601036389e-45,44761,1297,679,111,Pubmed,http://pubmed.org/33545068,"[{'Entrez': 55299, 'Symbol': 'BRIX1'}, {'Entrez': 7178, 'Symbol': 'TPT1'}, {'Entrez': 3107, 'Symbol': 'HLA-C'}, {'Entrez': 6184, 'Symbol': 'RPN1'}, {'Entrez': 6201, 'Symbol': 'RPS7'}, {'Entrez': 60, 'Symbol': 'ACTB'}, {'Entrez': 11337, 'Symbol': 'GABARAP'}, {'Entrez': 10313, 'Symbol': 'RTN3'}, {'Entrez': 3146, 'Symbol': 'HMGB1'}, {'Entrez': 11345, 'Symbol': 'GABARAPL2'}, {'Entrez': 6232, 'Symbol': 'RPS27'}, {'Entrez': 84061, 'Symbol': 'MAGT1'}, {'Entrez': 6238, 'Symbol': 'RRBP1'}, {'Entrez': 5216, 'Symbol': 'PFN1'}, {'Entrez': 3178, 'Symbol': 'HNRNPA1'}, {'Entrez': 7277, 'Symbol': 'TUBA4A'}, {'Entrez': 3192, 'Symbol': 'HNRNPU'}, {'Entrez': 135293, 'Symbol': 'PM20D2'}, {'Entrez': 9351, 'Symbol': 'SLC9A3R2'}, {'Entrez': 60559, 'Symbol': 'SPCS3'}, {'Entrez': 80020, 'Symbol': 'FOXRED2'}, {'Entrez': 7320, 'Symbol': 'UBE2B'}, {'Entrez': 7322, 'Symbol': 'UBE2D2'}, {'Entrez': 10399, 'Symbol': 'RACK1'}, {'Entrez': 7341, 'Symbol': 'SUMO1'}, {'Entrez': 57552, 'Symbol': 'NCEH1'}, {'Entrez': 7384, 'Symbol': 'UQCRC1'}, {'Entrez': 51435, 'Symbol': 'SCARA3'}, {'Entrez': 3320, 'Symbol': 'HSP90AA1'}, {'Entrez': 3326, 'Symbol': 'HSP90AB1'}, {'Entrez': 3336, 'Symbol': 'HSPE1'}, {'Entrez': 1289, 'Symbol': 'COL5A1'}, {'Entrez': 7444, 'Symbol': 'VRK2'}, {'Entrez': 1303, 'Symbol': 'COL12A1'}, {'Entrez': 10528, 'Symbol': 'NOP56'}, {'Entrez': 302, 'Symbol': 'ANXA2'}, {'Entrez': 310, 'Symbol': 'ANXA7'}, {'Entrez': 10576, 'Symbol': 'CCT2'}, {'Entrez': 351, 'Symbol': 'APP'}, {'Entrez': 7534, 'Symbol': 'YWHAZ'}, {'Entrez': 22919, 'Symbol': 'MAPRE1'}, {'Entrez': 402, 'Symbol': 'ARL2'}, {'Entrez': 5530, 'Symbol': 'PPP3CA'}, {'Entrez': 8612, 'Symbol': 'PLPP2'}, {'Entrez': 10682, 'Symbol': 'EBP'}, {'Entrez': 1468, 'Symbol': 'SLC25A10'}, {'Entrez': 5573, 'Symbol': 'PRKAR1A'}, {'Entrez': 22984, 'Symbol': 'PDCD11'}, {'Entrez': 55754, 'Symbol': 'TMEM30A'}, {'Entrez': 2534, 'Symbol': 'FYN'}, {'Entrez': 26092, 'Symbol': 'TOR1AIP1'}, {'Entrez': 498, 'Symbol': 'ATP5F1A'}, {'Entrez': 10755, 'Symbol': 'GIPC1'}, {'Entrez': 26121, 'Symbol': 'PRPF31'}, {'Entrez': 4627, 'Symbol': 'MYH9'}, {'Entrez': 55832, 'Symbol': 'CAND1'}, {'Entrez': 537, 'Symbol': 'ATP6AP1'}, {'Entrez': 23065, 'Symbol': 'EMC1'}, {'Entrez': 10787, 'Symbol': 'NCKAP1'}, {'Entrez': 23076, 'Symbol': 'RRP1B'}, {'Entrez': 9789, 'Symbol': 'SPCS2'}, {'Entrez': 9791, 'Symbol': 'PTDSS1'}, {'Entrez': 5702, 'Symbol': 'PSMC3'}, {'Entrez': 5704, 'Symbol': 'PSMC4'}, {'Entrez': 5705, 'Symbol': 'PSMC5'}, {'Entrez': 5706, 'Symbol': 'PSMC6'}, {'Entrez': 5708, 'Symbol': 'PSMD2'}, {'Entrez': 56916, 'Symbol': 'SMARCAD1'}, {'Entrez': 5717, 'Symbol': 'PSMD11'}, {'Entrez': 81502, 'Symbol': 'HM13'}, {'Entrez': 121457, 'Symbol': 'IKBIP'}, {'Entrez': 56949, 'Symbol': 'XAB2'}, {'Entrez': 4738, 'Symbol': 'NEDD8'}, {'Entrez': 23191, 'Symbol': 'CYFIP1'}, {'Entrez': 57003, 'Symbol': 'CCDC47'}, {'Entrez': 2771, 'Symbol': 'GNAI2'}, {'Entrez': 2773, 'Symbol': 'GNAI3'}, {'Entrez': 10970, 'Symbol': 'CKAP4'}, {'Entrez': 10972, 'Symbol': 'TMED10'}, {'Entrez': 81631, 'Symbol': 'MAP1LC3B'}, {'Entrez': 5862, 'Symbol': 'RAB2A'}, {'Entrez': 5876, 'Symbol': 'RABGGTB'}, {'Entrez': 4869, 'Symbol': 'NPM1'}, {'Entrez': 5901, 'Symbol': 'RAN'}, {'Entrez': 57120, 'Symbol': 'GOPC'}, {'Entrez': 4904, 'Symbol': 'YBX1'}, {'Entrez': 821, 'Symbol': 'CANX'}, {'Entrez': 57142, 'Symbol': 'RTN4'}, {'Entrez': 4926, 'Symbol': 'NUMA1'}, {'Entrez': 51010, 'Symbol': 'EXOSC3'}, {'Entrez': 2885, 'Symbol': 'GRB2'}, {'Entrez': 3916, 'Symbol': 'LAMP1'}, {'Entrez': 127829, 'Symbol': 'ARL8A'}, {'Entrez': 9061, 'Symbol': 'PAPSS1'}, {'Entrez': 875, 'Symbol': 'CBS'}, {'Entrez': 3949, 'Symbol': 'LDLR'}, {'Entrez': 201595, 'Symbol': 'STT3B'}, {'Entrez': 7040, 'Symbol': 'TGFB1'}, {'Entrez': 80781, 'Symbol': 'COL18A1'}, {'Entrez': 11160, 'Symbol': 'ERLIN2'}, {'Entrez': 10159, 'Symbol': 'ATP6AP2'}, {'Entrez': 51121, 'Symbol': 'RPL26L1'}, {'Entrez': 23478, 'Symbol': 'SEC11A'}, {'Entrez': 59345, 'Symbol': 'GNB4'}, {'Entrez': 8165, 'Symbol': 'AKAP1'}, {'Entrez': 998, 'Symbol': 'CDC42'}, {'Entrez': 6118, 'Symbol': 'RPA2'}, {'Entrez': 6124, 'Symbol': 'RPL4'}, {'Entrez': 6134, 'Symbol': 'RPL10'}, {'Entrez': 4087, 'Symbol': 'SMAD2'}, {'Entrez': 3065, 'Symbol': 'HDAC1'}]"
3,Pubmed,27684187,Genetic and Proteomic Interrogation of Lower Confidence Candidate Genes Reveals Signaling Networks in β-Catenin-Active Cancers.,3.2068308910632816e-44,2.559083119377409e-39,3.213608879728602e-38,5.118166238754819e-39,44761,1247,679,102,Pubmed,http://pubmed.org/27684187,"[{'Entrez': 6166, 'Symbol': 'RPL36AL'}, {'Entrez': 2079, 'Symbol': 'ERH'}, {'Entrez': 6184, 'Symbol': 'RPN1'}, {'Entrez': 4140, 'Symbol': 'MARK3'}, {'Entrez': 9260, 'Symbol': 'PDLIM7'}, {'Entrez': 6201, 'Symbol': 'RPS7'}, {'Entrez': 6207, 'Symbol': 'RPS13'}, {'Entrez': 6210, 'Symbol': 'RPS15A'}, {'Entrez': 3146, 'Symbol': 'HMGB1'}, {'Entrez': 6232, 'Symbol': 'RPS27'}, {'Entrez': 6238, 'Symbol': 'RRBP1'}, {'Entrez': 3178, 'Symbol': 'HNRNPA1'}, {'Entrez': 7277, 'Symbol': 'TUBA4A'}, {'Entrez': 3192, 'Symbol': 'HNRNPU'}, {'Entrez': 8350, 'Symbol': 'H3C1'}, {'Entrez': 10399, 'Symbol': 'RACK1'}, {'Entrez': 10413, 'Symbol': 'YAP1'}, {'Entrez': 7341, 'Symbol': 'SUMO1'}, {'Entrez': 5295, 'Symbol': 'PIK3R1'}, {'Entrez': 79039, 'Symbol': 'DDX54'}, {'Entrez': 3265, 'Symbol': 'HRAS'}, {'Entrez': 2289, 'Symbol': 'FKBP5'}, {'Entrez': 6389, 'Symbol': 'SDHA'}, {'Entrez': 3320, 'Symbol': 'HSP90AA1'}, {'Entrez': 3326, 'Symbol': 'HSP90AB1'}, {'Entrez': 8451, 'Symbol': 'CUL4A'}, {'Entrez': 8454, 'Symbol': 'CUL1'}, {'Entrez': 7431, 'Symbol': 'VIM'}, {'Entrez': 3336, 'Symbol': 'HSPE1'}, {'Entrez': 8473, 'Symbol': 'OGT'}, {'Entrez': 302, 'Symbol': 'ANXA2'}, {'Entrez': 5430, 'Symbol': 'POLR2A'}, {'Entrez': 10576, 'Symbol': 'CCT2'}, {'Entrez': 4436, 'Symbol': 'MSH2'}, {'Entrez': 5464, 'Symbol': 'PPA1'}, {'Entrez': 351, 'Symbol': 'APP'}, {'Entrez': 7534, 'Symbol': 'YWHAZ'}, {'Entrez': 22938, 'Symbol': 'SNW1'}, {'Entrez': 51631, 'Symbol': 'LUC7L2'}, {'Entrez': 1487, 'Symbol': 'CTBP1'}, {'Entrez': 84445, 'Symbol': 'LZTS2'}, {'Entrez': 9701, 'Symbol': 'PPP6R2'}, {'Entrez': 2534, 'Symbol': 'FYN'}, {'Entrez': 498, 'Symbol': 'ATP5F1A'}, {'Entrez': 23028, 'Symbol': 'KDM1A'}, {'Entrez': 4627, 'Symbol': 'MYH9'}, {'Entrez': 55832, 'Symbol': 'CAND1'}, {'Entrez': 23076, 'Symbol': 'RRP1B'}, {'Entrez': 3643, 'Symbol': 'INSR'}, {'Entrez': 572, 'Symbol': 'BAD'}, {'Entrez': 581, 'Symbol': 'BAX'}, {'Entrez': 5702, 'Symbol': 'PSMC3'}, {'Entrez': 5704, 'Symbol': 'PSMC4'}, {'Entrez': 5705, 'Symbol': 'PSMC5'}, {'Entrez': 5706, 'Symbol': 'PSMC6'}, {'Entrez': 5707, 'Symbol': 'PSMD1'}, {'Entrez': 5708, 'Symbol': 'PSMD2'}, {'Entrez': 5710, 'Symbol': 'PSMD4'}, {'Entrez': 4686, 'Symbol': 'NCBP1'}, {'Entrez': 5717, 'Symbol': 'PSMD11'}, {'Entrez': 23191, 'Symbol': 'CYFIP1'}, {'Entrez': 7846, 'Symbol': 'TUBA1A'}, {'Entrez': 8894, 'Symbol': 'EIF2S2'}, {'Entrez': 5825, 'Symbol': 'ABCD3'}, {'Entrez': 2770, 'Symbol': 'GNAI1'}, {'Entrez': 2771, 'Symbol': 'GNAI2'}, {'Entrez': 2773, 'Symbol': 'GNAI3'}, {'Entrez': 2782, 'Symbol': 'GNB1'}, {'Entrez': 2787, 'Symbol': 'GNG5'}, {'Entrez': 5862, 'Symbol': 'RAB2A'}, {'Entrez': 4869, 'Symbol': 'NPM1'}, {'Entrez': 3845, 'Symbol': 'KRAS'}, {'Entrez': 5894, 'Symbol': 'RAF1'}, {'Entrez': 9991, 'Symbol': 'PTBP3'}, {'Entrez': 5901, 'Symbol': 'RAN'}, {'Entrez': 4904, 'Symbol': 'YBX1'}, {'Entrez': 821, 'Symbol': 'CANX'}, {'Entrez': 57142, 'Symbol': 'RTN4'}, {'Entrez': 830, 'Symbol': 'CAPZA2'}, {'Entrez': 4926, 'Symbol': 'NUMA1'}, {'Entrez': 2885, 'Symbol': 'GRB2'}, {'Entrez': 5985, 'Symbol': 'RFC5'}, {'Entrez': 9061, 'Symbol': 'PAPSS1'}, {'Entrez': 7040, 'Symbol': 'TGFB1'}, {'Entrez': 10134, 'Symbol': 'BCAP31'}, {'Entrez': 11160, 'Symbol': 'ERLIN2'}, {'Entrez': 4000, 'Symbol': 'LMNA'}, {'Entrez': 4001, 'Symbol': 'LMNB1'}, {'Entrez': 1969, 'Symbol': 'EPHA2'}, {'Entrez': 55234, 'Symbol': 'SMU1'}, {'Entrez': 2011, 'Symbol': 'MARK2'}, {'Entrez': 988, 'Symbol': 'CDC5L'}, {'Entrez': 10213, 'Symbol': 'PSMD14'}, {'Entrez': 998, 'Symbol': 'CDC42'}, {'Entrez': 6118, 'Symbol': 'RPA2'}, {'Entrez': 6124, 'Symbol': 'RPL4'}, {'Entrez': 6125, 'Symbol': 'RPL5'}, {'Entrez': 6134, 'Symbol': 'RPL10'}, {'Entrez': 4087, 'Symbol': 'SMAD2'}, {'Entrez': 7159, 'Symbol': 'TP53BP2'}, {'Entrez': 4088, 'Symbol': 'SMAD3'}, {'Entrez': 3065, 'Symbol': 'HDAC1'}]"
4,Interaction,int:GNAI2,GNAI2 interactions,1.926492878814146e-42,9.893183097003578e-39,1.0110596126369301e-37,2.967954929101074e-38,19896,239,678,67, , ,"[{'Entrez': 7205, 'Symbol': 'TRIP6'}, {'Entrez': 4137, 'Symbol': 'MAPT'}, {'Entrez': 9260, 'Symbol': 'PDLIM7'}, {'Entrez': 10287, 'Symbol': 'RGS19'}, {'Entrez': 2099, 'Symbol': 'ESR1'}, {'Entrez': 2100, 'Symbol': 'ESR2'}, {'Entrez': 126006, 'Symbol': 'PCP2'}, {'Entrez': 1080, 'Symbol': 'CFTR'}, {'Entrez': 120892, 'Symbol': 'LRRK2'}, {'Entrez': 11346, 'Symbol': 'SYNPO'}, {'Entrez': 7253, 'Symbol': 'TSHR'}, {'Entrez': 2138, 'Symbol': 'EYA1'}, {'Entrez': 4188, 'Symbol': 'MDFI'}, {'Entrez': 92255, 'Symbol': 'LMBRD2'}, {'Entrez': 7277, 'Symbol': 'TUBA4A'}, {'Entrez': 134, 'Symbol': 'ADORA1'}, {'Entrez': 10413, 'Symbol': 'YAP1'}, {'Entrez': 125115, 'Symbol': 'KRT40'}, {'Entrez': 60626, 'Symbol': 'RIC8A'}, {'Entrez': 5359, 'Symbol': 'PLSCR1'}, {'Entrez': 3320, 'Symbol': 'HSP90AA1'}, {'Entrez': 3326, 'Symbol': 'HSP90AB1'}, {'Entrez': 6520, 'Symbol': 'SLC3A2'}, {'Entrez': 22919, 'Symbol': 'MAPRE1'}, {'Entrez': 55704, 'Symbol': 'CCDC88A'}, {'Entrez': 8601, 'Symbol': 'RGS20'}, {'Entrez': 90550, 'Symbol': 'MCU'}, {'Entrez': 10682, 'Symbol': 'EBP'}, {'Entrez': 4543, 'Symbol': 'MTNR1A'}, {'Entrez': 4544, 'Symbol': 'MTNR1B'}, {'Entrez': 63940, 'Symbol': 'GPSM3'}, {'Entrez': 5587, 'Symbol': 'PRKD1'}, {'Entrez': 4609, 'Symbol': 'MYC'}, {'Entrez': 4627, 'Symbol': 'MYH9'}, {'Entrez': 388677, 'Symbol': 'NOTCH2NLA'}, {'Entrez': 4688, 'Symbol': 'NCF2'}, {'Entrez': 91749, 'Symbol': 'MFSD4B'}, {'Entrez': 386681, 'Symbol': 'KRTAP10-8'}, {'Entrez': 643, 'Symbol': 'CXCR5'}, {'Entrez': 2770, 'Symbol': 'GNAI1'}, {'Entrez': 2771, 'Symbol': 'GNAI2'}, {'Entrez': 2773, 'Symbol': 'GNAI3'}, {'Entrez': 2775, 'Symbol': 'GNAO1'}, {'Entrez': 728, 'Symbol': 'C5AR1'}, {'Entrez': 81631, 'Symbol': 'MAP1LC3B'}, {'Entrez': 2782, 'Symbol': 'GNB1'}, {'Entrez': 2784, 'Symbol': 'GNB3'}, {'Entrez': 2785, 'Symbol': 'GNG3'}, {'Entrez': 2786, 'Symbol': 'GNG4'}, {'Entrez': 2787, 'Symbol': 'GNG5'}, {'Entrez': 2788, 'Symbol': 'GNG7'}, {'Entrez': 55013, 'Symbol': 'MCUB'}, {'Entrez': 2790, 'Symbol': 'GNG10'}, {'Entrez': 5862, 'Symbol': 'RAB2A'}, {'Entrez': 4869, 'Symbol': 'NPM1'}, {'Entrez': 3845, 'Symbol': 'KRAS'}, {'Entrez': 1813, 'Symbol': 'DRD2'}, {'Entrez': 3881, 'Symbol': 'KRT31'}, {'Entrez': 1846, 'Symbol': 'DUSP4'}, {'Entrez': 57143, 'Symbol': 'ADCK1'}, {'Entrez': 830, 'Symbol': 'CAPZA2'}, {'Entrez': 10058, 'Symbol': 'ABCB6'}, {'Entrez': 127829, 'Symbol': 'ARL8A'}, {'Entrez': 51094, 'Symbol': 'ADIPOR1'}, {'Entrez': 4001, 'Symbol': 'LMNB1'}, {'Entrez': 975, 'Symbol': 'CD81'}, {'Entrez': 59345, 'Symbol': 'GNB4'}]"
